tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,cluster
35,49.18910000000931,75.23439999960512,2.3,0.048,0.625,2.3,0.9,1.2,2
36,47.87210000008661,77.59639999980256,16.1,0.163,2.5250000000000004,11.8,16.6,66.8,1
37,43.90110000006705,73.73939999949336,3.1,0.056,0.725,1,1.5,2,2
38,47.61810000001304,76.16139999974668,10.5,0.077,0.975,2.9,2.9,9.8,2
39,35.025100000019556,77.79939999954924,13.6,0.101,3.925,4.4,41.7,196,1
40,55.43310000007357,77.21439999958648,16.8,0.152,3.75,6.9,33.8,135.3,1
41,46.540100000033526,75.10639999957904,2.6,0.058,0.85,2.6,2,3.2,2
42,46.91010000002887,74.34839999966472,7.4,0.088,1.2000000000000002,2.5,3.4,6.5,2
43,44.76710000010524,75.55739999946356,11.3,0.09,1.25,3.3,4.3,16,2
44,57.26310000003166,70.16039999958276,6.6,0.072,1.15,2.2,3.8,13,2
45,68.84809999999442,74.7373999996312,6.4,0.168,3.575,3,34.8,113.8,2
46,40.93510000005216,76.78039999969452,11.7,0.103,1.675,3.8,7.7,17.8,2
47,48.826099999997204,73.62839999992549,17.4,0.16,2.5,7,17.7,83.6,1
48,55.21710000005867,74.04339999949708,3.3,0.043,0.7,1.9,1.3,1.6,2
49,53.03410000009779,76.38739999953806,6.4,0.052,1.6,2.5,7.1,26.2,2
50,66.40510000002422,76.48139999957904,18.3,0.319,6.074999999999999,7.9,94,727.1,1
52,53.009100000074504,74.00639999948591,14.2,0.118,1.925,5.6,12.1,41.4,1
54,65.6461000000624,69.50739999964982,5.2,0.096,1.775,2.3,9.3,21.5,2
55,50.79610000008568,73.4993999997355,6.7,0.058,1.2,1.9,3.9,8,2
56,55.070100000061466,75.94039999984354,4.7,0.049,0.875,2.2,2.6,6,2
57,57.08610000000652,71.63939999986589,4,0.04,0.875,2.1,2.2,5.3,2
58,45.18610000009965,73.76439999986589,15.3,0.134,1.3,7.5,5,11.6,1
59,49.02410000008848,75.79739999968707,4.9,0.054,0.825,2,1.9,3.9,2
60,46.22410000004191,76.294399999661,16.6,0.173,2.875,9.5,22.1,98.5,1
61,46.83610000000652,72.83439999969825,9,0.085,1,2.3,2.8,9.6,2
62,45.31110000009965,73.044399999661,7.8,0.071,0.65,1.4,0.9,1.4,2
63,57.88710000010058,74.67639999987708,6.5,0.058,1.225,3.6,4.4,7.2,2
64,47.00810000002701,69.38339999981373,7.1,0.073,0.825,3.9,1.9,4.1,2
65,47.27910000009313,73.55239999957531,7,0.074,0.975,1.8,2.4,7,2
66,47.40810000005029,74.08139999967217,6.1,0.083,0.7,2,1.3,2.6,2
67,53.17010000003818,71.16039999958276,3.8,0.058,0.7,2,1.4,3.1,2
68,48.19609999999255,73.2153999997504,2.6,0.044,0.6000000000000001,2.6,1,1.2,2
69,56.25610000004843,74.56439999967962,8.7,0.121,1.7000000000000002,1.5,7.2,20.6,2
70,44.091100000011174,74.22139999980256,16,0.171,2.575,8.6,16.6,68,1
71,48.79110000008103,71.76239999953806,7.8,0.064,0.875,1.8,2,6.2,2
72,57.53310000005029,72.83239999983608,7.6,0.12,2.2750000000000004,4.5,10.7,17,2
73,49.54110000008103,74.03039999969452,17.6,0.119,2.325,6.3,12.5,43.3,1
74,55.46510000008009,67.74539999954551,5.4,0.044,1.175,2.2,3.5,8.7,2
75,55.18910000000931,72.90039999980628,13,0.104,1.9,5.1,10.2,35.7,1
76,52.99810000001769,73.52439999964237,6.6,0.085,0.925,3.6,2.5,6.8,2
77,59.67610000009034,70.14139999972805,6.4,0.048,1.575,1.8,6.3,13.6,2
78,53.289100000102444,72.10939999960512,2.8,0.051,0.625,1.9,1.2,1.5,2
79,46.384100000074504,73.82339999975785,7.8,0.074,0.525,3,0.7,1.6,2
80,52.5431000000596,74.11739999951944,3.1,0.044,0.525,1.6,0.7,1.1,2
81,36.22410000004191,71.26539999956414,12.6,0.087,1.975,3.8,10,25.1,1
82,37.5321000000028,72.39339999959022,13.5,0.173,2.7,5.8,20.6,101.4,1
84,74.89410000008382,67.39339999959022,4,0.131,1.4500000000000002,1.1,5.3,11,2
86,34.21810000010617,72.44439999956786,14.8,0.156,5.324999999999999,8.9,69.6,393.9,1
87,72.08210000004937,70.10039999952689,13.8,0.153,3.025,6.4,25.1,144.8,1
88,58.54610000008568,71.57739999948218,17.2,0.185,2.575,11.5,18.1,88.7,1
89,47.566100000104306,73.10639999957904,2.5,0.054,0.625,2.5,1.1,1.6,2
90,56.32109999999255,72.65439999953061,17,0.15,3.5,10,33.3,133.3,1
91,67.88810000003167,70.98639999946728,12.8,0.12,2.6,7.3,20.5,108,1
94,30.95010000006613,66.915399999471,13.7,0.223,4.35,8,46.4,213.6,1
95,51.8281000000922,70.81139999965355,3.4,0.057,0.725,1.1,1.4,3.1,2
96,59.11310000000838,72.03839999960884,8.6,0.058,1.05,1.8,3.2,10,2
97,44.04909999999534,69.72439999982863,2.3,0.049,0.375,2.3,0.4,0.6,2
98,46.48410000005122,70.2153999997504,16.2,0.107,1.75,5.1,8.3,32.5,1
99,60.01710000010524,71.19839999975785,4.5,0.032,1.15,1.8,3.5,8.2,2
100,46.038100000054946,72.26639999972805,16.4,0.149,2.225,12.1,12.8,44.3,1
101,52.55110000009034,70.24839999957159,8.6,0.062,1.3,3.6,4.8,15.6,2
102,75.54909999999535,69.93239999946356,13,0.173,5.775,3.3,95,494.8,1
104,57.941100000104306,66.10239999985471,7.2,0.059,1.025,2.2,2.5,5.7,2
105,42.990100000103375,68.7723999997802,2.9,0.145,0.675,2.9,1,1.6,2
106,47.337100000054015,70.53139999985844,5.5,0.08,0.6,2.5,1,1.8,2
108,48.92110000008568,68.69839999975785,3.1,0.035,0.65,1.2,1,1.4,2
109,48.84809999999441,71.33039999950826,11.9,0.071,0.675,4.5,1.4,5.9,2
110,51.36410000005588,71.59639999980256,17.3,0.146,2.6,13.1,21,78.3,1
111,62.50009999999627,69.7263999996908,4.1,0.127,0.85,1.9,1.8,2.4,2
112,54.49310000001304,69.16239999991059,18.5,0.208,2.25,14.2,14.4,63.1,1
113,47.386100000053084,71.04939999954924,5.5,0.07,0.55,2.2,0.9,1.9,2
115,56.69609999999255,68.73039999988079,3.5,0.077,0.525,3.5,0.9,1.9,2
116,50.448100000087535,70.13239999964982,14.7,0.148,1.85,5,8.3,33.3,1
117,55.94010000005681,68.69739999959394,5.2,0.046,0.8999999999999999,2.4,2.5,6,2
118,60.979100000046564,67.5783999996461,5.2,0.088,1.225,2.4,4.3,8,2
119,46.49810000001769,71.08539999986216,7.8,0.223,1.025,2.1,3,10.3,2
120,61.92610000009034,71.39539999991804,16,0.189,4.15,10.8,46.5,243.1,1
121,56.51410000007916,69.71639999991432,6.5,0.061,1.325,2.7,5.1,10.5,2
122,46.932100000026075,68.18539999948963,8.7,0.084,1.05,2.1,3,8,2
124,47.824100000018625,65.68339999962747,4.1,0.086,0.7250000000000001,1.3,1.3,1.9,2
125,45.12810000002235,67.18539999948963,6.8,0.068,1.15,2.7,3.1,6.7,2
126,44.2361000000298,69.11039999976903,5,0.051,0.9,1.6,2.6,5.9,2
128,83.77310000004098,67.294399999661,9,0.13,2.475,5.8,18.5,50.8,2
129,51.34010000008009,68.99339999968335,6.5,0.059,0.9,1.5,2.6,6.8,2
130,46.27209999999348,69.45139999978393,3.4,0.062,0.2,1.1,0.1,0.2,2
131,49.08210000004936,69.12939999962374,6.3,0.057,1.075,1.8,2.8,6.2,2
132,48.47809999999907,68.03739999991059,1.6,0.074,0.225,1.6,0.1,0.1,2
133,57.434100000004655,69.00339999992549,6.7,0.044,0.925,2,2.4,6.3,2
134,44.7941000001071,64.69639999989569,4.4,0.055,1.075,1.2,3.2,6.5,2
136,67.92110000008569,69.4313999997653,5.8,0.51,1.525,2,7.6,31.7,1
138,54.150100000019556,67.04639999952316,16.8,0.31,3.375,6.3,31,145.4,1
139,58.2361000000298,68.24539999954551,2.9,0.037,0.4,1.2,0.4,0.7,2
140,43.53410000009779,69.27739999966845,2.8,0.043,0.4,2.8,0.5,0.8,2
141,54.46910000003725,68.19839999975785,8.5,0.18,1.25,3.2,4.4,14.6,2
142,64.3171000000354,67.4653999997504,9.6,0.11,2.425,3.2,15.6,51.6,2
143,52.49110000003446,68.19039999984354,5.1,0.072,0.8,1.9,1.9,3.8,2
144,59.59310000010617,64.10439999971688,4.2,0.039,1.175,1.8,3.5,7.8,2
145,72.49110000003446,66.53039999969452,8.4,0.115,2.6500000000000004,3,17.9,62.7,2
146,53.16210000000745,68.77439999964237,2.4,0.083,0.5,1.1,0.7,1.2,2
148,58.54909999999534,65.72239999950081,6.5,0.062,0.975,2.5,2.4,7.1,2
149,61.333100000096856,65.76939999975413,8,0.124,2,4.7,12.7,28.8,2
150,51.25410000006985,68.10739999974295,17.1,0.16,2.45,4.1,18.6,79.2,1
151,46.303100000068916,66.69439999956786,11.8,0.106,1.1,2.8,3.7,14.3,2
152,41.975100000089405,66.86539999965727,3.1,0.062,1.225,1.6,3.9,5.7,2
153,36.92210000001677,66.81339999951571,13.9,0.138,2.875,4.3,22.9,137.3,1
154,81.45610000000187,63.505399999787656,13.6,0.189,5.25,4.7,61.6,237.9,1
155,57.42510000004284,65.75339999992549,14,0.124,2.05,4,12.6,55.3,1
156,47.95410000002328,67.79739999968707,4.7,0.062,1.05,2.7,2.7,3.9,2
157,43.7821000000028,64.44339999986961,12.8,0.106,2.275,6.9,12.2,44.1,1
159,46.35510000009406,65.38439999951198,15.9,0.153,2.15,11,13.2,60.2,1
160,68.03110000007172,67.20039999962002,5.8,0.139,2.175,2.4,16,58.3,2
161,55.928100000068916,65.52739999966845,5,0.036,0.925,2,2.3,3.8,2
162,84.30310000006892,66.21239999972433,3,0.107,0.575,3.1,0.9,1.7,2
163,65.57109999999255,65.8623999996312,4.4,0.085,1.825,1.2,8.8,23.8,2
164,71.03610000007637,62.20939999969825,5.1,0.092,2.475,1.1,15.8,43.5,2
165,30.807100000026075,63.84239999961257,2.4,0.04,0.25,2.4,0.2,0.2,2
166,84.30210000002143,66.79139999963492,6,0.126,0.475,2,0.6,1.4,2
167,50.8951000000149,63.7493999997355,4.1,0.056,0.6,2,1.1,2.3,2
168,56.61310000000838,62.98839999979511,4.1,0.044,0.85,1.4,1.8,3.2,2
169,53.01610000005774,65.38339999981373,7.2,0.072,1.4249999999999998,2.4,5,13.8,2
170,59.07510000006612,66.6473999997802,17,0.144,4.275,11.9,42.7,141.6,1
171,51.740100000103375,64.59539999963864,12.9,0.115,1.7999999999999998,3.4,9.4,43,1
173,83.65209999999814,65.38339999981373,10.4,0.129,1.675,1.8,7.2,15.3,2
174,47.08210000004936,61.83539999986216,10.6,0.09,1.125,5.7,3.3,9.1,2
175,35.83410000002794,63.23839999979511,10.5,0.107,2.45,4.3,16.2,56.3,2
176,59.990100000103375,65.67539999971315,4.9,0.164,0.775,2.1,1.6,3.6,2
177,64.84809999999442,61.81339999951571,6,0.121,0.85,2.3,2,3.5,2
178,65.38210000009593,62.05939999979138,17.2,0.185,3.875,10.6,42.7,182.5,1
179,30.40310000004564,64.66439999977275,13.5,0.157,4.95,6.7,70.9,375.8,1
180,47.27209999999348,66.06839999986961,7.3,0.073,1,3.4,2.5,4.8,2
181,48.54710000001677,64.33039999950826,8.1,0.067,0.95,2.2,2.7,5.9,2
182,83.47110000001585,64.39339999959022,7.3,0.11,0.6,2.6,1,2,2
183,59.82910000002328,64.89239999989196,12.5,0.176,2.7,6.5,18.8,61.1,1
184,66.32310000008755,61.27939999953061,4.5,0.116,0.55,2,1,2.4,2
185,52.56410000000931,62.53239999955669,4.4,0.049,1.1749999999999998,1.9,4,10.7,2
186,40.29710000001677,65.00539999978766,7.2,0.044,2,1.9,10.1,24.8,2
187,47.81410000000931,61.94639999989569,18.7,0.166,2,11,11,56,1
188,44.290100000033526,61.513399999701974,13.1,0.068,1.5499999999999998,4,6.4,27.3,1
189,50.63110000004843,64.16739999979883,7,0.07,1.05,2,2.8,7.5,2
190,49.09809999999441,65.68839999951571,18.9,0.221,2.4000000000000004,8.2,17.7,72.6,1
191,56.05210000002142,62.901399999504534,4,0.069,0.75,1.8,1.6,2.2,2
192,31.41610000008103,64.45739999983608,15.3,0.175,4.2,10,47.3,180.9,1
193,49.89010000001024,63.763399999701974,17.1,0.173,2.925,11.1,23.4,82.4,1
194,49.292100000012105,60.987399999631194,5.4,0.076,1.25,2.9,3.9,9.5,2
195,60.46710000005867,62.375399999899415,16,0.135,2.1,6.7,12,38.5,1
196,78.08710000005402,64.78639999974668,11.8,0.149,3.7,8.9,35.9,97.8,1
197,33.16610000008103,60.67539999971315,5.8,0.116,2.4,1.4,16.7,42.2,2
198,41.75110000004377,61.501399999597666,3.2,0.039,0.975,1.8,2.7,4.6,2
199,74.96210000005402,63.410399999582765,4.9,0.12,2,1.7,10.6,23.8,2
200,52.18910000000931,64.02439999964237,8.1,0.087,1.1,1.6,3.9,11.9,2
201,67.2701000000149,62.43339999962747,6.7,0.078,0.8500000000000001,1.7,2.1,5.7,2
202,84.57109999999257,63.186399999653545,4.3,0.163,0.2,1.8,0.1,0.1,2
203,31.56510000005681,63.315399999843535,6.1,0.096,1.275,2.5,4.3,8,2
204,58.05210000002142,60.388399999701974,5.1,0.057,1.175,1.8,3.8,6.8,2
205,45.670100000038175,60.71439999958649,9.6,0.078,0.8500000000000001,2.6,2.2,7.1,2
207,58.61810000001304,61.39539999991804,7.3,0.069,1.775,3.1,7.9,23.3,2
208,84.28910000010245,60.53239999955669,11.4,0.026,2.525,8,16.7,39.8,1
209,57.994100000060534,62.24339999968335,4.3,0.06,1.125,1.8,2.9,7.2,2
210,83.3961000000624,63.28239999955669,9.4,0.107,1.6,5.7,6.9,14.5,2
211,45.413100000054946,62.155399999694524,4.8,0.104,1.025,2.1,2.7,5.4,2
212,68.87509999999628,63.17439999954924,4.7,0.053,1.4249999999999998,2,6.7,13.6,2
214,55.10309999999907,60.393399999590216,3.6,0.035,1.15,1.2,4.3,9.8,2
216,84.30810000007357,64.46839999977648,8.3,0.201,1.0499999999999998,2.2,3.1,5,2
217,44.95910000002794,60.268399999590216,6,0.072,1.1,2.5,3.2,8.6,2
218,72.39709999999349,58.64039999956414,17.5,0.172,3.725,7.6,36.2,165.1,1
219,58.65510000002421,60.34839999966472,2.1,0.025,0.4,1.2,0.4,0.5,2
221,61.00009999999627,62.130399999787656,19.1,0.35,4,10.1,48.2,251.9,1
223,81.28810000005497,61.90939999988451,5.5,0.083,1.975,2.9,11.8,21.8,2
225,83.94510000006149,59.67839999973923,3.3,0.095,0.3249999999999999,1.8,0.3,0.3,2
226,29.7031000000922,62.474399999828634,8.3,0.095,4.65,2.7,52.5,265.2,1
227,60.53210000000279,58.98639999946728,1.8,0.024,0.2,1.7,0.1,0.1,2
229,42.056100000095,60.427399999575314,2.9,0.038,0.55,1.3,0.8,1.1,2
230,33.84809999999441,62.40039999980628,15,0.231,4.575,5.6,57.5,343.9,1
231,81.30010000004285,61.160399999582765,17.4,0.212,8.65,10.2,175.5,892.7,1
232,41.20710000004936,61.453399999646095,17.8,0.177,3.275,9.5,26.4,147.8,1
233,68.1451000000149,61.81839999986961,13.3,0.158,2.775,8.9,18.8,52.1,1
234,46.51710000010524,59.62239999987334,3.9,0.05,0.95,2,2.2,4.5,2
235,49.17610000009034,59.78739999991059,16.7,0.171,2.4,12.2,14.7,55.1,1
236,38.3281000000922,62.07739999948218,3.2,0.078,1.075,1,3.4,6.4,2
237,42.9871000000773,58.95539999950826,3.3,0.077,0.95,1.1,2.4,5.4,2
238,43.64410000008382,56.59739999950081,14.3,0.136,1.55,5.9,7.9,22.6,1
239,46.81410000000931,60.29239999979883,16.9,0.123,2.325,11,15.2,50.4,1
240,50.680100000047496,62.436399999653545,4.8,0.048,0.9,2,2.2,4.4,2
241,51.33810000010152,60.89039999956414,1.6,0.039,0.125,1.6,0,0.1,2
242,59.31310000007823,60.811399999653545,4.8,0.113,0.875,1.9,2.1,4.3,2
243,39.83610000000652,60.61839999968335,16.1,0.116,2.6,7.2,17.1,67.8,1
245,75.00110000004378,58.73839999979511,12.2,0.168,2.825,8.3,19.8,69.3,1
246,54.96910000003725,62.177399999575314,7.1,0.08,1.95,2.8,11,31.6,2
247,69.91010000002888,56.87839999992549,7.6,0.079,1.7,2.2,6.9,12.4,2
248,30.67310000006426,56.14139999972805,4.4,0.137,2.675,2.3,20,51.8,2
249,64.24410000006054,59.73439999960512,15.4,0.155,2.125,10.8,12,50.1,1
250,46.13110000004843,61.64839999947846,7.6,0.084,1.075,2.7,3,7.8,2
251,42.74610000003912,59.29339999949708,18.6,0.166,2.725,11.1,20.8,96.1,1
253,83.82310000008755,58.17239999968707,8.9,0.103,1.1749999999999998,3.8,4.4,9.2,2
254,69.24710000008662,57.130399999787656,13.9,0.108,2.1,7.2,11.6,49,1
255,58.67510000004284,58.55139999987706,6.5,0.051,1.35,2.2,5.2,11.8,2
256,50.24210000008196,61.626399999597666,12.5,0.084,1.8,2.8,9.6,27.8,1
257,76.80810000007358,57.06239999981746,12.8,0.139,1.825,5.2,8.6,14.2,1
258,48.19010000005681,55.591399999914316,11.1,0.093,2.625,3.3,16,51.6,1
259,50.837100000054015,59.29539999982491,3.7,0.051,1.025,2,2.4,4.1,2
261,66.57910000002329,58.64439999975413,16.6,0.202,2.325,3.7,14.1,57.4,1
262,76.08710000005402,59.55339999973923,9.3,0.13,2.35,6.9,11.6,24.6,2
263,31.91610000008103,57.9423999997057,13.5,0.167,2.55,4.7,19.9,77.6,1
264,34.35910000005122,56.83939999958649,4.9,0.057,1.925,1.6,9.9,19.8,2
265,24.364100000055878,55.28739999991059,8.4,0.127,10.575,5.4,259.6,1174.6,1
266,67.1801000000475,61.48839999979511,9.1,0.137,1.7999999999999998,4.1,6.3,16.1,2
267,38.58410000002794,56.92139999952316,3.8,0.062,2.875,1.5,16.7,37.5,2
268,60.32910000002328,56.07739999948218,19.2,0.019,3.175,7.6,28.7,138.1,1
269,57.23810000000838,58.41339999960884,3.5,0.045,1.0499999999999998,1.8,2.9,5.3,2
270,51.67409999999534,60.44539999973178,4.5,0.056,0.9,2.1,2.3,4,2
271,57.59910000004191,57.70239999948218,6.6,0.054,0.875,1.9,2.3,5.9,2
272,83.2801000000242,60.307399999463556,13.2,0.083,2.25,4.3,14.2,49.7,1
273,47.48510000009872,57.64839999947846,17.5,0.278,3.125,13.2,24.6,85.5,1
274,62.68110000009499,54.630399999787656,16.8,0.224,3,13.1,25.2,82.3,1
275,62.34510000008475,55.4653999997504,15.5,0.203,2.3,7.7,13.9,51.6,1
276,62.21310000010151,60.31239999981746,5.6,0.141,1.5499999999999998,2.8,6.8,16.7,2
277,58.03510000002887,56.37239999987334,15.8,0.162,1.75,5.7,9.6,50.1,1
278,66.25710000009593,51.62239999987334,16.4,0.168,2.475,8.2,16,34.8,1
279,83.07109999999257,58.31039999948963,6.7,0.091,1.65,1.2,5,8.5,2
280,49.132100000095924,60.40739999955669,4.3,0.048,0.8,2,1.7,2.4,2
281,55.212100000054015,57.35639999957904,3.5,0.118,1.275,1.7,5.2,9.1,2
282,50.0431000000596,58.13639999983981,16.5,0.187,2.95,12.5,20.1,69.1,1
283,68.74310000001304,56.6923999997057,5.1,0.055,0.8500000000000001,2.7,2,3.8,2
284,40.882100000095924,54.225399999526886,14.8,0.105,2,7.5,11,57.1,1
285,68.94010000005682,53.13339999981373,19.3,0.202,4.025,10.5,40.7,192.8,1
286,43.83610000000652,59.23139999957904,6.2,0.178,1.275,2.6,3.6,8.3,2
287,46.61310000000838,55.712399999724326,7.9,0.133,1.7000000000000002,2.5,9.5,28.9,2
288,53.915100000033526,50.91139999974668,12.9,0.108,1.925,2.8,8.6,32,1
289,43.71510000008009,56.00639999948591,12,0.075,1,1.7,2.9,7.1,2
290,68.4431000000829,60.22239999950081,17.2,0.143,3,11.4,22.6,102.1,1
291,57.89210000010524,54.492399999519435,11.1,0.174,1.4500000000000002,4.3,5.2,19.2,1
292,44.41210000000745,57.26439999986589,15.2,0.113,1.65,6.1,7.1,19.6,1
293,56.01810000003632,55.98539999976903,17.5,0.203,3.075,10.7,25,94.7,1
294,24.855100000094062,52.591399999914316,11.6,0.116,5.575,5.9,89.3,370,1
295,60.225100000089405,51.55839999962747,7.4,0.107,1.7,2.9,8,17.7,2
296,83.38610000005309,58.819399999567864,6.6,0.067,0.575,2,0.9,1.6,2
297,42.97309999999441,55.29939999954924,6,0.069,0.95,1.4,2.3,4.7,2
298,59.227100000067985,50.458399999534336,9.6,0.039,2.05,1.8,10.7,26.5,2
299,73.20410000002329,55.28739999991059,16.1,0.191,4.125,12.4,50.1,238.5,1
300,59.818100000082886,58.64639999961629,18.2,0.19,2.975,10.5,21.8,91.4,1
301,49.87509999999628,54.186399999653545,3.5,0.027,0.475,1.9,0.6,1,2
302,31.87509999999628,56.401399999504534,6.1,0.061,1.9,3.3,10.9,31.5,2
303,43.072100000040045,55.72239999950081,10.8,0.12,0.575,1.9,1,3.2,2
304,44.36810000001304,51.12339999957159,3,0.093,0.4,1.5,0.4,0.7,2
305,45.803100000068916,50.28439999988451,19.2,0.367,4.65,2.4,56.6,238.6,1
306,39.80010000004284,55.33539999986216,17.2,0.271,4.3,7.9,48.8,281.1,1
308,46.760100000005586,48.414399999772755,7.3,0.098,1.2999999999999998,1.8,5.1,14.1,2
309,43.03110000007171,53.48939999949336,5.2,0.07,1.4,2.3,5.7,15.5,2
310,46.449100000018625,58.100399999526886,18.9,0.169,2.7,12.3,19.1,61.1,1
311,70.34910000004191,54.25239999976158,19.3,0.222,3.05,10.9,24.2,100.3,1
312,68.12509999999628,54.71039999986216,18.5,0.2,3.325,12.4,29.6,92.6,1
313,69.21610000001118,54.27339999947846,10.9,0.018,1.7000000000000002,7.2,7.5,14,1
314,57.833100000096856,51.12739999976158,11.8,0.149,1.7,2.9,7.6,22.8,1
315,55.835100000075435,49.17039999982491,9,0.065,1.6,2.1,6.5,13.9,2
316,53.790100000033526,55.393399999590216,18,0.166,3,8.7,24.7,87.5,1
317,34.62710000009127,52.37239999987334,8.4,0.13,1.7000000000000002,4.2,7.7,9.6,2
318,44.930100000047496,45.4083999997206,5.7,0.081,1.35,1.5,4.2,10.1,2
319,58.79710000001676,52.669399999660996,20.4,0.325,4.175,12.7,50.6,288.9,1
320,57.0781000000922,56.932399999463556,12,0.153,1.825,4.5,8.7,19.3,1
321,59.63710000010058,52.16839999949708,7.5,0.171,0.625,1.3,0.9,2.2,2
322,45.34610000001583,53.57139999989569,2.1,0.066,0.3,2,0.3,0.3,2
323,65.67710000002143,53.54239999979883,5.4,0.057,1.725,2.7,8,19.1,2
324,41.430100000047496,49.48239999974295,11.1,0.126,1.85,6.9,10.3,27.1,2
325,71.81310000007824,43.13239999964982,14.6,0.162,3.075,10.4,20.2,50.2,1
326,41.729100000046564,50.52139999961629,4.3,0.135,0.75,2.1,1.6,3.9,2
327,73.36610000003446,52.18939999967962,6.8,0.06,3.075,2.2,26.2,77.3,2
328,54.37910000006985,44.82739999948218,6.4,0.06,1.5750000000000002,2.1,6.7,16,2
329,68.01910000008382,51.46739999961257,9.9,0.126,2.25,2.8,13,17,2
330,51.84809999999441,55.87039999954551,7.1,0.1,2.525,2.7,16.3,46.7,2
331,44.59010000008009,52.112399999631194,17.9,0.181,3.975,13.3,44.1,180.1,1
332,41.05210000002142,51.57739999948218,18.4,0.198,4.325,12.2,51.3,252.4,1
334,45.59809999999441,48.69539999973178,2.1,0.066,0.3249999999999999,2.1,0.3,0.3,2
335,21.81710000003539,42.848399999664714,5.2,0.129,0.975,2.1,2.5,5.1,2
336,57.13110000004843,47.298399999850986,16.5,0.173,3.625,9.4,34,105,1
337,62.98510000009872,50.712399999724326,16.4,0.202,4.375,11.8,53.4,206.1,1
338,69.69910000001863,44.323399999757854,5.2,0.101,1.975,2.3,11.5,27.8,2
340,68.66910000010711,55.70939999969825,8.6,0.131,1.275,2.4,4.7,11.1,2
341,58.35910000005122,51.621399999709425,3.2,0.051,0.525,3.1,0.8,1.6,2
342,51.60710000007264,48.604399999716875,5.7,0.052,1.025,3,2.4,4.1,2
343,42.45610000000186,51.19539999973178,13,0.164,1.275,3,4.1,12.1,1
344,47.555100000047496,47.725399999526886,4.9,0.047,0.95,2.1,2.2,4.9,2
345,41.1571000000028,40.02439999964237,3.6,0.089,2.725,1.1,18.6,38.2,2
346,49.95510000007078,46.7833999997206,8,0.168,1.575,1.7,7.3,18.6,2
347,54.650100000019556,50.953399999646095,13.4,0.237,1.95,6.4,9.4,39.2,1
349,52.559100000004655,45.401399999504534,19.6,0.218,3.35,10.8,30.4,131.5,1
350,66.04909999999535,55.39939999964237,5.4,0.091,1.375,1.5,5,13.6,2
351,63.50410000006985,51.43839999951571,5.1,0.072,1.375,2.1,5.5,13.9,2
